BJD,flux,flux_err,texp
2459771.3387850695,16145925.818181818,557.559657211551,0.00043844402534887195
2459771.3393112025,16151974.787878787,557.5580234333908,0.0004384440471767448
2459771.339837335,16150053.818181818,557.5605531523806,0.00043844403262482956
2459771.340363468,16155117.575757576,557.62015633507,0.00043844403262482956
2459771.340889601,16154153.696969697,557.6186808247863,0.0004384440399007872
2459771.3414157336,16156739.878787879,557.6269278232614,0.00043844402534887195
2459771.3419418666,16161404.121212121,557.6728505714285,0.0004384440399007872
2459771.3424679996,16158479.515151516,557.61106607572,0.00043844402534887195
2459771.342994132,16170635.636363637,557.7508552471485,0.0004384440471767448
2459771.343520265,16166160.484848484,557.6900541614134,0.00043844402534887195
2459771.344046398,16165020.121212121,557.6294835775855,0.0004384440399007872
2459771.3445725306,16161198.545454545,557.638020239081,0.00043844403262482956
2459771.3450986636,16164233.696969697,557.7074679746638,0.00043844403262482956
2459771.3456247966,16156045.575757576,557.647162753225,0.00043844403262482956
2459771.346150929,16149413.818181818,557.5891697991619,0.00043844403262482956
2459771.346677062,16153579.636363637,557.6199718964981,0.00043844403262482956
2459771.347203195,16160622.545454545,557.6905283723044,0.00043844403262482956
2459771.3477293276,16160337.454545455,557.6634713616204,0.0004384440399007872
2459771.3482554606,16160216.242424242,557.7034899805232,0.00043844403262482956
2459771.3487815936,16161071.515151516,557.681570987348,0.00043844403262482956
2459771.3492997545,16156126.0,566.2516556267187,0.00042515785025898367
2459771.349809944,16158084.0,566.3135449995876,0.00042515785025898367
2459771.3503201334,16151037.0,566.2356510323242,0.00042515785025898367
2459771.350830323,16159323.0,566.3068955963719,0.00042515784298302606
2459771.3513405123,16156961.0,566.360474874439,0.00042515785025898367
2459771.3518507015,16159758.0,566.3516189170823,0.00042515783570706844
2459771.352360891,16155054.0,566.2902303589565,0.00042515785025898367
2459771.3528710804,16160172.0,566.3291335433839,0.00042515785025898367
2459771.35338127,16159594.0,566.3519223945478,0.00042515784298302606
2459771.3538914593,16161063.0,566.3435353210982,0.00042515784298302606
2459771.354401649,16164723.0,566.3880074648474,0.00042515785025898367
2459771.354911838,16167252.0,566.3614680572823,0.00042515785025898367
2459771.355422028,16165440.0,566.3500739383725,0.0004251578648108989
2459771.355932217,16167730.0,566.3381553895164,0.00042515785025898367
2459771.3564424063,16167958.0,566.4093318881672,0.00042515784298302606
2459771.356952596,16171731.0,566.457577846744,0.0004251578575349413
2459771.357462785,16166259.0,566.4053318958076,0.00042515784298302606
2459771.357972975,16173366.0,566.4294417665805,0.00042515785025898367
2459771.358483164,16168312.0,566.4475372883177,0.00042515784298302606
2459771.358993354,16167144.0,566.4707627053668,0.00042515785025898367
2459771.359503543,16172629.0,566.4776584297036,0.00042515783570706844
2459771.360013732,16176155.0,566.5153351852005,0.00042515784298302606
2459771.360523922,16171079.0,566.4584053573572,0.00042515785025898367
2459771.361034111,16169370.0,566.4641427310294,0.00042515784298302606
2459771.361544301,16167272.0,566.5,0.0004251578575349413
2459771.36205449,16171794.0,566.543384261082,0.00042515783570706844
2459771.3625646797,16168224.0,566.4938216785775,0.0004251578575349413
2459771.363074869,16167442.0,566.4619636392191,0.0004251578575349413
2459771.363585058,16162990.0,566.4497991878892,0.00042515784298302606
2459771.364095248,16163249.0,566.4940974979351,0.00042515783570706844
2459771.364605437,16176113.0,566.6333139694489,0.0004251578575349413
2459771.3651156267,16168441.0,566.5253469616342,0.00042515784298302606
2459771.365625816,16174532.0,566.5774991119927,0.00042515783570706844
2459771.3661360056,16177253.0,566.6093230789625,0.0004251578575349413
2459771.366646195,16171902.0,566.586158496658,0.00042515784298302606
2459771.367156384,16174812.0,566.6109500795056,0.00042515785025898367
2459771.3676665737,16178714.0,566.6170443959483,0.00042515784298302606
2459771.368176763,16181167.0,566.6607505818627,0.00042515784298302606
2459771.3686869526,16186402.0,566.7302599120678,0.00042515785025898367
2459771.369197142,16179942.0,566.7013377873745,0.00042515783570706844
2459771.369707331,16179771.0,566.6804103725485,0.00042515782843111083
2459771.3702175207,16182320.0,566.6606678604048,0.00042515784298302606
2459771.37072771,16181951.0,566.6955752430047,0.00042515783570706844
2459771.3712378996,16181602.0,566.7610276827439,0.00042515782843111083
2459771.371748089,16182518.0,566.8523837825859,0.00042515783570706844
2459771.3722582785,16189819.0,566.8513363307878,0.00042515784298302606
2459771.3727684678,16189681.0,566.7954878084334,0.00042515784298302606
2459771.373278657,16188894.0,566.8449137550764,0.00042515785025898367
2459771.3737888467,16196296.0,566.9077857112213,0.00042515783570706844
2459771.374299036,16195589.0,566.9065729906472,0.00042515784298302606
2459771.3748092256,16198570.0,566.9911815892731,0.00042515784298302606
2459771.375319415,16208195.0,567.0972138884126,0.00042515783570706844
2459771.3758296045,16205990.0,567.0988119366854,0.00042515785025898367
2459771.3763397937,16212643.0,567.1892320910191,0.00042515785025898367
2459771.376849983,16213020.0,567.1356760070732,0.00042515784298302606
2459771.3773601726,16210664.0,567.2049343050535,0.00042515784298302606
2459771.377870362,16220228.0,567.3332904915769,0.00042515784298302606
2459771.3783805515,16232209.0,567.5047356630604,0.00042515783570706844
2459771.3788907407,16233392.0,567.6307118188726,0.0004251578575349413
2459771.3794009304,16237997.0,567.7660169471224,0.00042515782843111083
2459771.3799111196,16244410.0,567.9005194574135,0.00042515783570706844
2459771.380421309,16260080.0,568.1447878842152,0.0004251578575349413
2459771.3809314985,16266067.0,568.3005366881154,0.00042515783570706844
2459771.3814416877,16275873.0,568.515171301523,0.00042515784298302606
2459771.3819518774,16288612.0,568.7956575080369,0.00042515785025898367
