BJD,flux,flux_err
2459728.8787031607,1.000332837354689,5.978361893321006e-05
2459728.8796420167,1.0001789737072875,5.978407540155023e-05
2459728.8805808728,1.000073067082666,5.978453187688785e-05
2459728.881519729,1.0001551563019622,5.978498835922389e-05
2459728.882458585,1.0001131510873094,5.9785444848558236e-05
2459728.883397441,1.0002084521135268,5.978590134489119e-05
2459728.884336297,1.000083549119738,5.978635784822268e-05
2459728.885275153,1.0001567348095983,5.978681435855228e-05
2459728.886214009,1.0000760642163713,5.978727087588142e-05
2459728.887152865,1.0000918445024456,5.97877274002095e-05
2459728.888091721,0.9999896247182348,5.9788183931536496e-05
2459728.889030577,1.0000380671310412,5.97886404698629e-05
2459728.889969433,1.0000629174537317,5.978909701518926e-05
2459728.8909082892,1.0001398906805699,5.978955356751506e-05
2459728.8918471453,1.000024193689524,5.9790010126840544e-05
2459728.8927860013,1.000090826960518,5.979046669316617e-05
2459728.8937248574,1.000088919659695,5.979092326649204e-05
2459728.8946637134,0.9999050783735175,5.979137984681802e-05
2459728.8956025694,1.0000572416658984,5.979183643414488e-05
2459728.8965414255,1.000085895529462,5.979229302847194e-05
2459728.8974802815,0.9999465294501741,5.9792749629800094e-05
2459728.8984191376,1.000221058388537,5.979320623812924e-05
2459728.8993579936,1.000287874331018,5.979366285345944e-05
2459728.9002968497,1.000115871023402,5.979411947579104e-05
2459728.9012357057,0.9999816812801592,5.979457610512396e-05
2459728.9021745618,0.9999195741850665,5.979503274145853e-05
2459728.903113418,1.0000266537938711,5.979548938479494e-05
2459728.904052274,1.0001249497528335,6.026128761475251e-05
2459728.90499113,0.9998535462297952,6.0261740745621727e-05
2459728.905929986,1.0000142729417736,6.0262193883332274e-05
2459728.906868842,1.0002099539541223,6.0262647027884463e-05
2459728.907807698,1.0001086088807623,6.026310017927797e-05
2459728.908746554,1.0001172777514609,6.026355333751337e-05
2459728.90968541,1.000091691238697,6.026400650259063e-05
2459728.910624266,1.0000254410827158,6.026445967451006e-05
2459728.911563122,1.0001889371374666,6.026491285327166e-05
2459728.912501978,1.0001441808807827,6.0265366038875554e-05
2459728.9134408343,0.9999162719734968,6.0265819231322076e-05
2459728.9143796903,0.9998954206814387,6.026627243061122e-05
2459728.9153185464,0.9998527161843609,6.026672563674357e-05
2459728.916257402,0.9998468478280939,6.026717884971824e-05
2459728.917196258,0.9998781874477821,6.026763206953661e-05
2459728.918135114,0.9999229823733605,6.026808529619809e-05
2459728.91907397,0.9999028939414023,6.026853852970307e-05
2459728.920012826,1.0000002216346395,6.026899177005144e-05
2459728.920951682,0.9999402279101224,6.026944501724388e-05
2459728.921890538,0.999823870413771,6.026989827128028e-05
2459728.922829394,0.9998642142034753,6.027035153216065e-05
2459728.9237682503,0.9999431220406615,6.027080479988513e-05
2459728.9247071063,0.9998975503275653,6.027125807445415e-05
2459728.9256459624,1.000001079770793,6.027171135586775e-05
2459728.9265848184,0.9998610358736774,6.0272164644126086e-05
2459728.9275236744,1.000059275549711,6.0272617939229105e-05
2459728.9284625305,0.9998826254712916,6.027307124117744e-05
2459728.9294013865,1.0000894937774694,6.027352454997063e-05
2459728.9303402426,0.9998948051366899,6.027397786560938e-05
2459728.9312790986,0.999824112611907,6.027443118809338e-05
2459728.9322179547,0.9998473462643611,6.027488451742312e-05
2459728.9331568107,0.9999812012468401,6.0275337853598676e-05
2459728.9340956667,1.000040586374544,6.027579119662021e-05
2459728.935034523,0.9996694370237456,6.027624454648773e-05
2459728.935973379,0.999462465983078,6.0276697903201576e-05
2459728.936912235,0.9993885850988966,6.02771512667617e-05
2459728.937851091,0.999294246743641,6.027760463716864e-05
2459728.9387899465,0.999402807831964,6.027805801442222e-05
2459728.9397288025,0.9994050432512764,6.0278511398522455e-05
2459728.9406676586,0.9994337938249792,6.027896478947002e-05
2459728.9416065146,0.9994814535036772,6.0279418187264667e-05
2459728.9425453707,0.9994602306828234,6.0279871591906684e-05
2459728.9434842267,0.9994221860854325,6.028032500339601e-05
2459728.9444230828,0.9995131431754884,6.028077842173318e-05
2459728.9453527345,0.9994541654183544,6.02812318469182e-05
2459728.9462731816,0.9993896336530261,6.02816852789509e-05
2459728.9471936286,0.9992628737370417,6.0282138717831875e-05
2459728.9481140757,0.9993545225896224,6.0282592163561306e-05
2459728.9490345228,0.9994075129109424,6.028304561613896e-05
2459728.94995497,0.9993755539424543,6.0283499075565466e-05
2459728.950875417,0.9994183394137478,6.028395254184001e-05
2459728.951795864,0.999412620195877,6.028440601496418e-05
2459728.952716311,0.9993481333921399,6.0284859494936995e-05
2459728.953636758,0.9993481088581824,6.028531298175936e-05
2459728.954557205,0.9993049533470368,6.0285766475430674e-05
2459728.955477652,0.9992583938199755,6.028621997595175e-05
2459728.956398099,0.9991125222942001,6.02866734833225e-05
2459728.9573185463,0.9993509073619687,6.0287126997543043e-05
