,BJD,flux,flux_err,Filt
0,2457577.237073055,0.9995870088278335,0.00012571439242850787,WFC3_G102
1,2457577.2390982397,1.000508531833909,0.0001272810665704076,WFC3_G102
2,2457577.241123985,1.000454623792546,0.00012172836549433369,WFC3_G102
3,2457577.2431493504,1.0000681105735865,0.00012482963391483005,WFC3_G102
4,2457577.24517491,0.9997346729633901,0.00012544759458084755,WFC3_G102
5,2457577.2472000904,0.9997076960729877,0.00012247885175240507,WFC3_G102
6,2457577.2492258353,0.9991797268081241,0.00012207508613128567,WFC3_G102
7,2457577.251251205,0.9995365547163372,0.00012669564332989879,WFC3_G102
8,2457577.2532767598,0.9997650484841085,0.00012736321863183127,WFC3_G102
9,2457577.255301945,0.9997779342194713,0.0001285721649668042,WFC3_G102
10,2457577.257327685,0.9996817542957391,0.00013163874811807894,WFC3_G102
11,2457577.2593530547,0.9999037341586665,0.0001242666648192088,WFC3_G102
12,2457577.2613786096,0.9991661108448208,0.0001278094042080372,WFC3_G102
13,2457577.2634037947,0.9994067248762629,0.0001237507613074294,WFC3_G102
14,2457577.265429535,1.000060402689542,0.00012670210966857397,WFC3_G102
15,2457577.26745491,1.0000276139291822,0.00012423718764106785,WFC3_G102
16,2457577.300024355,0.9997554474273852,0.000121650040802744,WFC3_G102
17,2457577.302049905,1.000152719967784,0.00012014869691611388,WFC3_G102
18,2457577.30407528,1.0001304528602601,0.00012192393801025212,WFC3_G102
19,2457577.306100835,1.000084449100539,0.00011996195966475267,WFC3_G102
20,2457577.3081260202,1.000064682508582,0.00012458315707396763,WFC3_G102
21,2457577.31015176,1.0002351881980636,0.00012221477722247677,WFC3_G102
22,2457577.31217713,1.0002245527676592,0.00012174633291519877,WFC3_G102
23,2457577.314202685,1.0000678391200903,0.0001229834093558827,WFC3_G102
24,2457577.31622787,1.0002156802109061,0.0001221863601023576,WFC3_G102
25,2457577.31825361,1.0005181424201228,0.00013018973215748005,WFC3_G102
26,2457577.32027898,1.0002984407532824,0.00013826796093095237,WFC3_G102
27,2457577.3223045403,1.000389911393673,0.00013039042868452554,WFC3_G102
28,2457577.324329905,1.0006413410561457,0.00012465957987437898,WFC3_G102
29,2457577.3263554648,0.9998909590787044,0.00012263030333215354,WFC3_G102
30,2457577.3283808352,1.0001651631262996,0.0001232503994659228,WFC3_G102
31,2457577.33040639,0.9998584244911372,0.00012407310444468943,WFC3_G102
32,2457577.3324315753,1.000144991508471,0.00012378443778161778,WFC3_G102
33,2457577.334457315,1.0003350266597053,0.0001271381439538908,WFC3_G102
34,2457577.3662741696,1.0000373201262351,0.00012316397765248468,WFC3_G102
35,2457577.368299905,0.9993190501889112,0.00012162707773794277,WFC3_G102
36,2457577.3703252804,0.997860348829751,0.0001182936256033555,WFC3_G102
37,2457577.3723508352,0.9960883356629116,0.0001233809784536011,WFC3_G102
38,2457577.3743760204,0.9933906188425695,0.0001220058126474752,WFC3_G102
39,2457577.37640176,0.9906495090615153,0.0001221137671452611,WFC3_G102
40,2457577.37842713,0.9881130178574241,0.00012436459031940235,WFC3_G102
41,2457577.380452685,0.985501528670415,0.00012185637396840023,WFC3_G102
42,2457577.38247787,0.9828507350281587,0.00012087785953526438,WFC3_G102
43,2457577.38450361,0.9815340289139944,0.00012310013514021432,WFC3_G102
44,2457577.38652898,0.9804455771382051,0.00012466580931765997,WFC3_G102
45,2457577.38855454,0.9799393049261579,0.00012676122589997597,WFC3_G102
46,2457577.39057972,0.9790129292463734,0.0001241989280983187,WFC3_G102
47,2457577.392605465,0.9786220868960482,0.00012232485446623484,WFC3_G102
48,2457577.394630835,0.9787516860189884,0.0001265767601987716,WFC3_G102
49,2457577.3966563903,0.9782505545790681,0.00012181196363207506,WFC3_G102
50,2457577.398681575,0.9781963590942792,0.00012135742245491285,WFC3_G102
51,2457577.4007073147,0.978143650094573,0.00012433753135989968,WFC3_G102
52,2457577.43253602,0.9768238712655358,0.0001236146510405129,WFC3_G102
53,2457577.434561205,0.9776573029262927,0.00012124492173226878,WFC3_G102
54,2457577.436586945,0.977528630579231,0.00012015254040156375,WFC3_G102
55,2457577.438612315,0.977537447015826,0.00012230194505542092,WFC3_G102
56,2457577.4406378698,0.977482954554011,0.00012117217375591666,WFC3_G102
57,2457577.442663055,0.9772484800728032,0.00012037415206202333,WFC3_G102
58,2457577.444688795,0.9781663377432557,0.00012137397830250504,WFC3_G102
59,2457577.4467141703,0.9778220601685228,0.00012086566054691125,WFC3_G102
60,2457577.4487397196,0.9778740286967293,0.00012446045882840573,WFC3_G102
61,2457577.4507649103,0.9781658097037629,0.00012033085311863336,WFC3_G102
62,2457577.45279065,0.9779582668927991,0.00012520649900634543,WFC3_G102
63,2457577.45481602,0.9781321349399823,0.00012247754694844312,WFC3_G102
64,2457577.456841575,0.9777082894435006,0.00011980005949556159,WFC3_G102
65,2457577.45886676,0.9786971558167931,0.0001228025530628604,WFC3_G102
66,2457577.4608925,0.978810421881792,0.00012116538363331645,WFC3_G102
67,2457577.46291787,0.979264420327484,0.00012101759074753667,WFC3_G102
68,2457577.464943425,0.9795155662094102,0.00012091344854913509,WFC3_G102
69,2457577.46696861,0.9805503506568406,0.00011941956386815456,WFC3_G102
70,2457577.4987974996,0.9994631269996622,0.00012563736033609037,WFC3_G102
