time,flux,ferr
2.456332424232650548e+06,1.000502512562813973e+00,0.00475
2.456332425196505617e+06,1.000753768844221181e+00,0.00475
2.456332426160361152e+06,1.000376884422110590e+00,0.00475
2.456332427003734745e+06,9.991206030150754369e-01,0.00475
2.456332427847108338e+06,1.000502512562813973e+00,0.00475
2.456332428569999989e+06,1.000502512562813973e+00,0.00475
2.456332429413373116e+06,1.000125628140703604e+00,0.00475
2.456332430256746709e+06,9.997487437185930137e-01,0.00475
2.456332431220602244e+06,1.000000000000000000e+00,0.00475
2.456332440738674253e+06,9.998743718592965068e-01,0.00475
2.456332441582047846e+06,1.000000000000000000e+00,0.00475
2.456332442425421439e+06,9.998743718592965068e-01,0.00475
2.456332443389276974e+06,9.991206030150754369e-01,0.00475
2.456332443991686683e+06,1.000000000000000000e+00,0.00475
2.456332444955541752e+06,9.974874371859296929e-01,0.00475
2.456332445798915345e+06,9.934673366834171349e-01,0.00475
2.456332446642288938e+06,9.898241206030150563e-01,0.00475
2.456332447606144473e+06,9.851758793969849215e-01,0.00475
2.456332457124216482e+06,9.744974874371858942e-01,0.00475
2.456332457967590075e+06,9.739949748743718105e-01,0.00475
2.456332458931445610e+06,9.741206030150754147e-01,0.00475
2.456332459654337261e+06,9.734924623115577269e-01,0.00475
2.456332460497710854e+06,9.742462311557789079e-01,0.00475
2.456332461341083981e+06,9.746231155778893873e-01,0.00475
2.456332462184457574e+06,9.748743718592964846e-01,0.00475
2.456332463148313109e+06,9.748743718592964846e-01,0.00475
2.456332463871204760e+06,9.757537688442210477e-01,0.00475
2.456332473509758711e+06,9.994974874371859164e-01,0.00475
2.456332474353132304e+06,1.001005025125628167e+00,0.00475
2.456332475316987839e+06,9.992462311557789301e-01,0.00475
2.456332476039879490e+06,1.000251256281406986e+00,0.00475
2.456332476883252617e+06,1.000502512562813973e+00,0.00475
2.456332477726626210e+06,9.998743718592965068e-01,0.00475
2.456332478569999803e+06,1.000000000000000000e+00,0.00475
2.456332479533855338e+06,1.000125628140703604e+00,0.00475
2.456332480377228931e+06,1.000251256281406986e+00,0.00475
2.456336479013132863e+06,9.996231155778894095e-01,0.00475
2.456336479736024048e+06,9.993718592964824232e-01,0.00475
2.456336480579397641e+06,1.000628140703517577e+00,0.00475
2.456336481422771234e+06,9.997487437185930137e-01,0.00475
2.456336482266144827e+06,9.996231155778894095e-01,0.00475
2.456336483230000362e+06,9.994974874371859164e-01,0.00475
2.456336483952891547e+06,1.000376884422110590e+00,0.00475
2.456336484796265140e+06,9.993718592964824232e-01,0.00475
2.456336485639638733e+06,9.998743718592965068e-01,0.00475
2.456336495157711208e+06,1.000376884422110590e+00,0.00475
2.456336496001084335e+06,1.001005025125628167e+00,0.00475
2.456336496844457928e+06,1.000251256281406986e+00,0.00475
2.456336497808313463e+06,1.000251256281406986e+00,0.00475
2.456336498651687056e+06,9.991206030150754369e-01,0.00475
2.456336499615542125e+06,9.982412060301507628e-01,0.00475
2.456336500338433776e+06,9.948492462311557816e-01,0.00475
2.456336501181807369e+06,9.907035175879397304e-01,0.00475
2.456336502025180962e+06,9.865577889447235682e-01,0.00475
2.456336511543252971e+06,9.749999999999999778e-01,0.00475
2.456336512507108506e+06,9.752512562814070751e-01,0.00475
2.456336513350482099e+06,9.739949748743718105e-01,0.00475
2.456336514193855692e+06,9.751256281407034709e-01,0.00475
2.456336515157711226e+06,9.749999999999999778e-01,0.00475
2.456336515880602412e+06,9.746231155778893873e-01,0.00475
2.456336516723976005e+06,9.752512562814070751e-01,0.00475
2.456336517567349598e+06,9.757537688442210477e-01,0.00475
2.456336518531205133e+06,9.770100502512563123e-01,0.00475
2.456336528049277142e+06,1.000251256281406986e+00,0.00475
2.456336528892650735e+06,9.989949748743718327e-01,0.00475
2.456336529736024328e+06,1.000251256281406986e+00,0.00475
2.456336530579397921e+06,9.998743718592965068e-01,0.00475
2.456336531422771048e+06,9.997487437185930137e-01,0.00475
2.456336532266144641e+06,1.000628140703517577e+00,0.00475
2.456336533109518234e+06,9.996231155778894095e-01,0.00475
2.456336533952891827e+06,1.000000000000000000e+00,0.00475
2.456336534916747361e+06,9.992462311557789301e-01,0.00475
